Ü;Gene;Weight
1;ACE2;0,844
2;CENPA;0,844
3;PROS1;0,844
4;RASD1;0,844
5;RASL11B;0,844
6;SERPINA3;0,844
7;SMOC2;0,844
8;THBS4;0,842
9;SFRP1;0,838
10;S100A9;0,835
11;TPM3;0,815
12;CLIC6;0,799
13;PIK3IP1;0,715
14;LMOD2;0,703
15;FRZB;0,686
16;CA3;0,686
